origin_state_fips,passengers
6,1349794990
48,1126095339
12,1002041118
13,733182729
17,705108312
36,561800555
8,439395873
37,405678206
32,381096691
4,380529514
51,366349308
42,343746419
26,310333882
53,307109889
27,286953965
15,245311833
29,242128444
34,231486798
25,219236772
24,187749369
47,184614716
39,181595341
49,176321517
21,151447517
41,141865192
22,102569603
55,92445276
18,83891418
2,76100542
72,74884782
45,60897426
40,58745271
9,55305389
35,52557958
1,45435412
44,40661861
31,40214735
16,32265766
5,31954936
19,28845757
30,27751543
33,27531034
28,19930585
23,18099875
78,15338321
38,14584783
20,14021700
46,12258131
50,10761150
56,7936225
54,6203232
75,5732556
10,209836
