,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
0,CA,CA,344029491
1,TX,TX,280720301
2,FL,GA,141668997
3,GA,FL,141511296
4,HI,HI,134218354
5,TX,CA,120841447
6,CA,TX,119121219
7,NY,FL,116213174
8,FL,NY,115745535
9,NV,CA,96746905
10,CA,NV,96204952
11,AZ,CA,94119535
12,CA,AZ,93295792
13,FL,TX,81189271
14,TX,FL,80358211
15,CA,IL,77043857
16,IL,CA,76185721
17,WA,CA,74917661
18,CA,WA,74912437
19,CO,CA,70489350
20,CA,CO,68732923
21,FL,FL,66239410
22,CA,HI,64037577
23,HI,CA,64034723
24,IL,FL,59056372
25,FL,IL,58991546
26,NC,FL,55190161
27,FL,NC,54774920
28,CA,NY,53576895
29,NJ,FL,53382399
30,FL,NJ,53115131
31,NY,CA,53054271
32,FL,PA,52328626
33,PA,FL,51829155
34,GA,TX,49905611
35,TX,GA,49103578
36,NY,IL,48912353
37,IL,NY,48549319
38,TX,CO,46504314
39,IL,TX,46280661
40,CO,TX,46177545
41,TX,IL,45865558
42,OR,CA,45515681
43,CA,OR,45410237
44,AK,AK,43382124
45,TX,AZ,43153763
46,FL,VA,43068441
47,VA,FL,42861807
48,AZ,TX,42365225
49,VA,GA,41527463
50,GA,VA,41261592
51,CA,GA,41006980
52,GA,CA,40262635
53,NY,GA,40087660
54,GA,NY,40072956
55,NC,GA,37627500
56,GA,NC,37226484
57,TX,NV,36825200
58,NC,NC,36754228
59,UT,CA,36653387
60,NV,TX,36627105
61,CA,UT,36448004
62,FL,MI,34659249
63,MI,FL,34654733
64,LA,TX,34552586
65,TX,LA,34283913
66,WA,WA,32069177
67,NY,NY,30391104
68,MO,TX,30331317
69,TX,MO,30317661
70,MA,FL,30308847
71,FL,MA,30173140
72,NY,VA,29244506
73,VA,NY,29140152
74,MD,FL,28779267
75,FL,MD,28762048
76,IL,MO,28147219
77,CA,FL,27978840
78,PA,IL,27916864
79,VA,IL,27806695
80,NC,NY,27793246
81,MO,IL,27769111
82,NY,NC,27695662
83,IL,PA,27586919
84,IL,VA,27530891
85,FL,CA,27488976
86,CA,VA,27371251
87,VA,CA,27024536
88,MI,IL,26931684
89,MI,MI,26781148
90,IL,MI,26540975
91,GA,IL,26449336
92,VA,TX,26425375
93,TX,VA,26425168
94,IL,GA,26368073
95,VA,NC,25481551
96,NC,VA,25457101
97,IL,CO,25300253
98,MN,CA,25291368
99,CA,MN,25205634
100,GA,PA,25175063
101,CO,IL,25117115
102,PA,GA,25102974
103,GA,GA,24825317
104,CO,CO,24633453
105,NY,TX,24610985
106,IL,MN,24604261
107,CA,NJ,24597818
108,TX,NY,24573076
109,TX,OK,24387881
110,MN,IL,24325689
111,OH,IL,24308923
112,OK,TX,24257664
113,IL,OH,24198072
114,NC,TX,24065833
115,TX,NC,23927598
116,PR,FL,23925463
117,NJ,CA,23812718
118,NV,AZ,23794564
119,AZ,NV,23613204
120,FL,PR,23518957
121,PA,NC,22935401
122,NC,PA,22932792
123,NV,IL,22206489
124,IL,NV,22162774
125,TN,TX,21994281
126,TX,TN,21743946
127,TN,GA,21479997
128,PA,PA,21467500
129,GA,TN,21431429
130,MA,NY,21375821
131,NY,MA,21301193
132,IL,AZ,20987637
133,AZ,CO,20930601
134,CO,AZ,20930281
135,AZ,IL,20920998
136,TN,FL,20777738
