,origin,dest,passengers,origin_coord,dest_coord,origin_city,dest_city,origin_airport_name,dest_airport_name
0,ATL,MCO,24103667,"(33.63669967651367, -84.4281005859375)","(28.429399490356445, -81.30899810791016)",Atlanta,Orlando,Hartsfield Jackson Atlanta International Airport,Orlando International Airport
1,LAX,SFO,24043776,"(33.94250107, -118.4079971)","(37.61899948120117, -122.375)",Los Angeles,San Francisco,Los Angeles International Airport,San Francisco International Airport
2,MCO,ATL,23889740,"(28.429399490356445, -81.30899810791016)","(33.63669967651367, -84.4281005859375)",Orlando,Atlanta,Orlando International Airport,Hartsfield Jackson Atlanta International Airport
3,SFO,LAX,23858748,"(37.61899948120117, -122.375)","(33.94250107, -118.4079971)",San Francisco,Los Angeles,San Francisco International Airport,Los Angeles International Airport
4,LAX,JFK,23615316,"(33.94250107, -118.4079971)","(40.63980103, -73.77890015)",Los Angeles,New York,Los Angeles International Airport,John F Kennedy International Airport
5,JFK,LAX,23377450,"(40.63980103, -73.77890015)","(33.94250107, -118.4079971)",New York,Los Angeles,John F Kennedy International Airport,Los Angeles International Airport
6,LAX,ORD,22119401,"(33.94250107, -118.4079971)","(41.97859955, -87.90480042)",Los Angeles,Chicago,Los Angeles International Airport,Chicago O'Hare International Airport
7,LGA,ORD,21807451,"(40.77719879, -73.87259674)","(41.97859955, -87.90480042)",New York,Chicago,La Guardia Airport,Chicago O'Hare International Airport
8,LAS,LAX,21801061,"(36.08010101, -115.1520004)","(33.94250107, -118.4079971)",Las Vegas,Los Angeles,McCarran International Airport,Los Angeles International Airport
9,ORD,LGA,21644587,"(41.97859955, -87.90480042)","(40.77719879, -73.87259674)",Chicago,New York,Chicago O'Hare International Airport,La Guardia Airport
10,ORD,LAX,21585181,"(41.97859955, -87.90480042)","(33.94250107, -118.4079971)",Chicago,Los Angeles,Chicago O'Hare International Airport,Los Angeles International Airport
11,LAX,LAS,21450051,"(33.94250107, -118.4079971)","(36.08010101, -115.1520004)",Los Angeles,Las Vegas,Los Angeles International Airport,McCarran International Airport
12,OGG,HNL,20690848,"(20.89859962463379, -156.42999267578125)","(21.318700790405273, -157.9219970703125)",Kahului,Honolulu,Kahului Airport,Honolulu International Airport
13,HNL,OGG,20324071,"(21.318700790405273, -157.9219970703125)","(20.89859962463379, -156.42999267578125)",Honolulu,Kahului,Honolulu International Airport,Kahului Airport
14,ATL,FLL,19938834,"(33.63669967651367, -84.4281005859375)","(26.072599411010746, -80.15270233154297)",Atlanta,Fort Lauderdale,Hartsfield Jackson Atlanta International Airport,Fort Lauderdale Hollywood International Airport
15,FLL,ATL,19892599,"(26.072599411010746, -80.15270233154297)","(33.63669967651367, -84.4281005859375)",Fort Lauderdale,Atlanta,Fort Lauderdale Hollywood International Airport,Hartsfield Jackson Atlanta International Airport
16,ATL,LGA,19749227,"(33.63669967651367, -84.4281005859375)","(40.77719879, -73.87259674)",Atlanta,New York,Hartsfield Jackson Atlanta International Airport,La Guardia Airport
17,LGA,ATL,19688161,"(40.77719879, -73.87259674)","(33.63669967651367, -84.4281005859375)",New York,Atlanta,La Guardia Airport,Hartsfield Jackson Atlanta International Airport
18,HNL,LAX,19567614,"(21.318700790405273, -157.9219970703125)","(33.94250107, -118.4079971)",Honolulu,Los Angeles,Honolulu International Airport,Los Angeles International Airport
19,LAX,HNL,19462128,"(33.94250107, -118.4079971)","(21.318700790405273, -157.9219970703125)",Los Angeles,Honolulu,Los Angeles International Airport,Honolulu International Airport
